,date,agency,location,description
2,6-3-2022 5:23 PM,Wilmington Police,1300 BLOCK NW LINDEN ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
3,6-3-2022 4:55 PM,Wilmington Police,1200 BLOCK S KING ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
4,6-3-2022 12:39 PM,Wilmington Police,3600 BLOCK WASHINGTON ST,VEHICLE THEFT
5,6-3-2022 11:57 AM,Wilmington Police,700 BLOCK ELBERT PL,DAMAGE/BUSINESS PROPERTY
6,6-3-2022 11:09 AM,Wilmington Police,600 BLOCK N MARKET ST,LARCENY/SHOPLIFTING
7,6-3-2022 11:02 AM,Wilmington Police,700 BLOCK N KING ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,6-2-2022 11:54 PM,Wilmington Police,200 BLOCK SE FIFTEENTH ST,CARRYING PROHIBITED
9,6-2-2022 7:00 PM,Wilmington Police,500 BLOCK 40TH ST,VEHICLE THEFT
10,6-2-2022 5:08 PM,Wilmington Police,500 BLOCK N NEW CASTLE AVE,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
11,6-2-2022 12:48 PM,Wilmington Police,800 BLOCK N NEW CASTLE AVE,CARRYING PROHIBITED
12,6-2-2022 11:53 AM,Wilmington Police,1300 BLOCK WALNUT ST,LARCENY/FROM BUILDING
13,6-2-2022 11:51 AM,Wilmington Police,1300 BLOCK N CLIFFORD BROWN WALK,DAMAGE/PRIVATE PROPERTY
14,6-2-2022 10:04 AM,Wilmington Police,300 BLOCK 5TH ST,DAMAGE/BUSINESS PROPERTY
0,6-2-2022 7:42 AM,Wilmington Police,1100 BLOCK NE BROOM ST,VEHICLE THEFT
1,6-1-2022 8:26 PM,Wilmington Police,100 BLOCK 18TH ST,CARRYING PROHIBITED
2,6-1-2022 4:40 PM,Wilmington Police,500 BLOCK N. VANBUREN ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
3,6-1-2022 3:42 PM,Wilmington Police,400 BLOCK MARTIN LUTHER KING BLVD,POSSESSION OF WEAPON
4,6-1-2022 3:34 PM,Wilmington Police,300 BLOCK WALNUT ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
5,6-1-2022 2:20 PM,Delaware State Police,3600 BLOCK SW MILLER RD,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
6,6-1-2022 9:04 AM,Wilmington Police,1400 BLOCK NORTHEAST BLVD,BURGLARY/FORCED ENTRY/NONRESIDENCE
7,6-1-2022 8:25 AM,Delaware State Police,4300 BLOCK GOV PRINTZ BLVD,IMPERSONATION
8,6-1-2022 8:19 AM,Delaware State Police,000 BLOCK S GERMAY DR,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
9,6-1-2022 7:26 AM,Delaware State Police,000 BLOCK S GERMAY DR,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
10,6-1-2022 6:20 AM,Wilmington Police,4300 BLOCK MILLER RD,DAMAGE/PRIVATE PROPERTY
11,6-1-2022 5:06 AM,Wilmington Police,200 BLOCK SW CONNELL ST,ROBBERY/CARJACKING/STRONG-ARM RESIDENCE
12,6-1-2022 12:29 AM,Delaware State Police,NEWPORT GAP PIKE & BOXWOOD RD,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
0,12-21-2021 6:01 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
1,12-21-2021 5:37 PM,Wilmington Police,100 BLOCK MARTIN LUTHER KING BLVD,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
2,12-21-2021 5:04 PM,Wilmington Police,1500 BLOCK CEDAR ST,THEFT/OTHER MOTOR VEHICLE
3,12-21-2021 3:42 PM,Wilmington Police,100 BLOCK 25TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
4,12-21-2021 3:29 PM,Wilmington Police,2200 BLOCK MARKET ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
5,12-21-2021 1:18 PM,Delaware State Police,3000 BLOCK N NEW CASTLE AVE,LARCENY/FROM BUILDING
6,12-21-2021 11:50 AM,Wilmington Police,1400 BLOCK LINCOLN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
7,12-21-2021 11:02 AM,Wilmington Police,500 BLOCK N 14TH ST,DAMAGE/PRIVATE PROPERTY
8,12-21-2021 11:00 AM,Wilmington Police,300 BLOCK S JUSTISON ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
9,12-21-2021 9:40 AM,Wilmington Police,000 BLOCK TROLLEY SQ,BURGLARY/FORCED ENTRY/NONRESIDENCE
10,12-21-2021 9:35 AM,Wilmington Police,1200 BLOCK N ANCHORAGE ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,12-21-2021 9:26 AM,Wilmington Police,800 BLOCK NW 22 ST,VEHICLE THEFT
12,12-21-2021 8:48 AM,Wilmington Police,800 BLOCK SCOTT ST,DAMAGE/PRIVATE PROPERTY
13,12-21-2021 8:29 AM,Wilmington Police,2200 BLOCK S PINE ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
14,12-21-2021 8:08 AM,Wilmington Police,500 BLOCK FRANKLIN ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
0,12-21-2021 7:46 AM,Delaware State Police,5200 BLOCK SE WASHINGTON STREET EXTENSI EXT,DISTURBING THE PEACE/PUBLIC NUISANCE
1,12-20-2021 9:54 PM,Delaware State Police,500 BLOCK NW NEWPORT GAP PIKE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
2,12-20-2021 6:23 PM,Delaware State Police,1700 BLOCK SW FAULKLAND RD,LARCENY/SHOPLIFTING
3,12-20-2021 6:20 PM,Wilmington Police,B NW ST & BRADFORD ST,ALTERING THE IDENTIFICATION OF A FIREARM
4,12-20-2021 5:46 PM,Wilmington Police,400 BLOCK S MONROE ST,LARCENY/FROM ALL OTHER YARDS
5,12-20-2021 5:44 PM,Wilmington Police,100 BLOCK WEST ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
6,12-20-2021 5:04 PM,Wilmington Police,1600 BLOCK 9TH ST,LARCENY/FROM ALL OTHER YARDS
7,12-20-2021 3:31 PM,Wilmington Police,500 BLOCK SE W. FIFTH ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
8,12-20-2021 2:49 PM,Wilmington Police,CLAYMONT / LOBDELL ST & LOBDELL ST,DAMAGE/BUSINESS PROPERTY
9,12-20-2021 1:00 PM,Wilmington Police,1500 BLOCK A ST,DAMAGE/PRIVATE PROPERTY
10,12-20-2021 9:13 AM,Wilmington Police,800 BLOCK W MADISON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
11,12-20-2021 8:48 AM,Wilmington Police,2400 BLOCK PENNSYLVANIA AVE,VEHICLE THEFT
12,12-20-2021 8:44 AM,Wilmington Police,600 BLOCK NW 31ST ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,12-19-2021 10:00 PM,Wilmington Police,1200 BLOCK NE NORTHEAST BLVD,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
14,12-19-2021 9:12 PM,Wilmington Police,1000 BLOCK CHESTNUT ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
0,12-19-2021 8:46 PM,Wilmington Police,300 BLOCK SW UNION ST,LARCENY/FROM BUILDING
1,12-19-2021 6:25 PM,Wilmington Police,300 BLOCK SW MADISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
2,12-19-2021 5:50 PM,Wilmington Police,600 BLOCK JUSTISON ST,LARCENY/PICKPOCKETING
3,12-19-2021 4:49 PM,Delaware State Police,3900 BLOCK SE LANCASTER PIKE,LARCENY/FROM ALL OTHER YARDS
4,12-19-2021 3:06 PM,Delaware State Police,4000 BLOCK S NEW CASTLE AVE,DAMAGE/BUSINESS PROPERTY
5,12-19-2021 2:14 PM,Wilmington Police,800 BLOCK S KIRKWOOD ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
6,12-19-2021 1:41 PM,Wilmington Police,1100 BLOCK 12TH ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
7,12-19-2021 12:47 PM,Wilmington Police,100 BLOCK 35TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
8,12-19-2021 11:59 AM,Wilmington Police,3100 BLOCK WASHINTON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,12-19-2021 11:25 AM,Wilmington Police,800 BLOCK N 4TH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
